n_trees,n_playouts,mean_playouts_per_second,std_playouts_per_second,mean_best_q,std_best_q,trials
1,32,25592.721791352924,2187.6724966133556,0.649640625,0.03512586525216787,100
1,64,52265.26967181391,5264.763473706695,0.6415963541666666,0.030204792307227092,100
1,128,100643.08093633204,8357.38719006314,0.6355611979166667,0.02569490362866679,100
1,256,185009.96392355004,11774.697360679012,0.6337349795386905,0.02291700376248622,100
1,512,350306.36937063595,23494.945145930786,0.6398831767733135,0.01756456788573997,100
4,32,101651.1705511271,7922.897417956671,0.6406978549432594,0.02186512147670254,100
4,64,212773.57078742405,15353.05258665399,0.6388798859540442,0.018727955186076676,100
4,128,432023.72292007843,31428.973797918636,0.6401701373531868,0.012576224003444486,100
4,256,819186.8722095888,53014.89830830858,0.6405118315478999,0.01220540308867962,100
4,512,1346204.220307499,99739.95520827276,0.6397797235937475,0.007914700337949594,100
8,32,215211.9149170998,15660.118864601513,0.6378675762225534,0.01954895845300583,100
8,64,398186.2621367777,47391.60208994691,0.6393228066390644,0.01316680561789768,100
8,128,778755.7987446712,88163.85468609116,0.6395996749113673,0.009803710098898306,100
8,256,1495930.18127989,118486.63907251542,0.6410698145933441,0.008346503555354257,100
8,512,2296589.3332357965,133617.71441218487,0.6406593932071991,0.005867960291999112,100
16,32,423327.0946420226,31678.753974055508,0.6386775569822204,0.013051083356309948,100
16,64,777087.941160091,71422.96312106735,0.6396110638038462,0.00923628411678166,100
16,128,1620980.3732572761,101276.76156142923,0.6398154076812842,0.006560396322158275,100
16,256,2842605.043202083,185688.16496196837,0.6416195748905598,0.005978729922122225,100
16,512,3712265.788663834,170840.46497422992,0.6408992682158783,0.0037048064004029857,100
